Região;Código UF;UF;Peso Muito Baixo;%;Peso Baixo;%;Peso Adequado;%;Peso Elevado;%;Total
CENTRO-OESTE;53;DF;266;0.66%;916;2.28%;34.195;85.08%;4.816;11.98%;40.193
CENTRO-OESTE;52;GO;1.463;0.96%;3.223;2.12%;126.669;83.25%;20.792;13.67%;152.147
CENTRO-OESTE;50;MS;478;0.55%;1.643;1.89%;73.597;84.55%;11.331;13.02%;87.049
CENTRO-OESTE;51;MT;939;0.82%;2.510;2.19%;96.246;84.05%;14.812;12.94%;114.507
TOTAL REGIÃO CENTRO-OESTE;;;3.146;0.8%;8.292;2.11%;330.707;83.96%;51.751;13.14%;393.896
NORDESTE;27;AL;1.744;1.5%;4.147;3.57%;96.643;83.31%;13.477;11.62%;116.011
NORDESTE;29;BA;6.823;1.5%;13.291;2.93%;379.381;83.5%;54.873;12.08%;454.368
NORDESTE;23;CE;3.589;1.09%;8.400;2.54%;265.022;80.12%;53.755;16.25%;330.766
NORDESTE;21;MA;7.673;2.44%;17.452;5.55%;266.281;84.66%;23.122;7.35%;314.528
NORDESTE;25;PB;2.310;1.84%;4.233;3.36%;101.991;81.03%;17.329;13.77%;125.863
NORDESTE;26;PE;5.611;2.23%;8.989;3.57%;203.639;80.89%;33.514;13.31%;251.753
NORDESTE;22;PI;1.751;1.4%;4.339;3.47%;106.179;84.92%;12.765;10.21%;125.034
NORDESTE;24;RN;860;1.05%;2.246;2.74%;65.772;80.14%;13.191;16.07%;82.069
NORDESTE;28;SE;923;1.21%;2.374;3.12%;63.907;83.89%;8.980;11.79%;76.184
TOTAL REGIÃO NORDESTE;;;31.284;1.67%;65.471;3.49%;1.548.815;82.53%;231.006;12.31%;1.876.576
NORTE;12;AC;597;1.73%;1.516;4.39%;29.825;86.42%;2.572;7.45%;34.510
NORTE;13;AM;3.568;1.65%;10.133;4.69%;186.454;86.34%;15.793;7.31%;215.948
NORTE;16;AP;303;1.4%;941;4.34%;18.842;86.85%;1.609;7.42%;21.695
NORTE;15;PA;5.718;1.77%;14.887;4.6%;278.839;86.09%;24.448;7.55%;323.892
NORTE;11;RO;293;0.68%;1.039;2.41%;37.040;85.87%;4.762;11.04%;43.134
NORTE;14;RR;275;1.26%;720;3.31%;19.346;88.89%;1.422;6.53%;21.763
NORTE;17;TO;730;1.05%;2.122;3.06%;60.236;86.91%;6.220;8.97%;69.308
TOTAL REGIÃO NORTE;;;11.484;1.57%;31.358;4.29%;630.582;86.35%;56.826;7.78%;730.250
SUDESTE;32;ES;571;0.65%;1.527;1.75%;72.983;83.43%;12.392;14.17%;87.473
SUDESTE;31;MG;5.268;0.94%;12.282;2.19%;466.192;83.07%;77.466;13.8%;561.208
SUDESTE;33;RJ;5.846;2.26%;7.406;2.86%;212.187;81.92%;33.568;12.96%;259.007
SUDESTE;35;SP;4.073;0.63%;10.765;1.67%;521.253;80.99%;107.540;16.71%;643.631
TOTAL REGIÃO SUDESTE;;;15.758;1.02%;31.980;2.06%;1.272.615;82.03%;230.966;14.89%;1.551.319
SUL;41;PR;1.460;0.51%;4.207;1.47%;235.843;82.53%;44.264;15.49%;285.774
SUL;43;RS;1.121;0.49%;3.155;1.37%;184.246;79.74%;42.548;18.41%;231.070
SUL;42;SC;1.398;0.76%;3.392;1.83%;153.929;83.18%;26.333;14.23%;185.052
TOTAL REGIÃO SUL;;;3.979;0.57%;10.754;1.53%;574.018;81.78%;113.145;16.12%;701.896
TOTAL BRASIL;;;65.651;1.25%;147.855;2.81%;4.356.737;82.92%;683.694;13.01%;5.253.937
